You can create an account after checkout, Sie können nach dem Checkout ein Konto erstellen
"First Name",Vorname
Last Name, Nachname
Company, Firma
Street address, Adresse
City, Stadt
State/province, Region
"Please select a region, state or province","Bitte wählen Sie eine Region, Bundesland oder Provinz"
"Zip/postal code", Postleitzahl
Country, Land
view and edit cart, Warenkorb ansehen und bearbeiten
see details, siehe Details
Review & payment, Übersicht & Zahlung
View and Edit Cart, zum Warenkorb
You have no items in your shopping cart.,Sie haben keine Artikel in Ihrem Warenkorb.
"(with shipment tracking)", "(mit Sendungsverfolgung)"
Maximum number of characters is %1, Die maximale Zeichenanzahl ist %1
Contact Us, Kontaktieren Sie uns
You can create an account after checkout, Sie können nach dem Checkout ein Konto erstellen
First name, Vorname
Last name, Nachname
Company, Firma
Street address, Adresse
City, Stadt
State/province, Region
Please select a region, state or province, Bitte wählen Sie eine Region
Zip/postal code, PLZ
Country, Land
item in cart, Artikel im Warenkorb
view and edit cart, Warenkorb anzeigen und bearbeiten
see details, siehe Details
Review & payment, Übersicht
Billing and shipping address are the same, Rechnungs- und Lieferadresse sind gleich
I want to specify a different Billing Address, Ich möchte eine andere Rechnungsadresse angeben
I want to save my data in an account, Ich möchte meine Daten in einem Konto speichern
Select method, Methode auswählen
price, Preis
Method title, Versandart
carrier title, Anbietername
check / money order, Lastschrift
shipping method, Versandart
billing method, Abrechnungsmethode
enter discount code, Geben Sie den Gutschein-Code ein
edit, bearbeiten
check out with multiple address, Checkout mit mehreren Adressen
enter your destination to get a shipping estimate, Geben Sie Ihr Ziel ein, um einen Versandkostenvoranschlag zu erhalten
Overview, Überblick
"Street, House Number", "Straße / Hausnummer"
Next, weiter
I want to Save My Data in an Account,"Ich möchte meine Daten in einem Konto speichern."
I want to specify a different Billing Address,"Ich möchte eine abweichende Lieferanschrift angeben."
Billing and Shipping Address are the same.,"Rechnungsanschrift und Lieferanschrift sind gleich."
Maximum number of characters is %1, Die maximale Zeichenanzahl ist %1
Contact Us, Kontaktieren Sie uns
You can create an account after checkout, Sie können nach dem Checkout ein Konto erstellen
First name, Vorname
Last name, Nachname
Company, Firma
City, Stadt
State/province, Region
Please select a region, state or province, Bitte wählen Sie eine Region
Zip/postal code, PLZ
Country, Land
1 item in cart, 1 Artikel im Warenkorb
view and edit cart, Warenkorb anzeigen und bearbeiten
see details, siehe Details
Review & payment, Übersicht
Billing and Shipping Address are the same., Rechnungs- und Lieferadresse sind gleich
I want to specify a different Billing Address, Ich möchte eine andere Rechnungsadresse angeben
I want to Save My Data in an Account, Ich möchte meine Daten in einem Konto speichern
Select Method, Methode auswählen
Price, Preis
Method Title, Versandart
Carrier Title, Anbietername
Check / Money order, Lastschrift
shipping method, Versandart
billing method, Abrechnungsmethode
Enter discount code, Geben Sie den Gutschein-Code ein
edit, bearbeiten
check out with multiple address, Checkout mit mehreren Adressen
enter your destination to get a shipping estimate, Geben Sie Ihr Ziel ein, um einen Versandkostenvoranschlag zu erhalten
Overview, Überblick
"This is a required field.","Bitte füllen Sie dieses Pflichtfeld aus."
"First Name *","Vorname *"
"Last Name *", "Nachname *"
"Telephone *", "Telefon *"
"Street, House number *", "Straße, Hausnr. *"
"City *", "Stadt *"
"Postcode *", "Postleitzahl"
"Please check the shipping address information.", "Bitte überprüfen Sie die Lieferadresse."
"Enter your destination to get a shipping estimate.","Geben Sie Ihr Ziel ein, um eine Versandkostenschätzung zu erhalten."
"Please enter the same value again.","Please enter the same value again."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Order Total Excl. Tax", "Bestellmenge exkl. MwSt."
Edit Address,Adresse bearbeiten
Shipped By, Verschifft von
Tracking Number,Sendungsnummer
Recent Orders, Vergangene Bestellungen
Canceled, Abgebrochen
Upload successful - remove file, Upload erfolgreich - Datei entfernen
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Konto ist vorübergehend deaktiviert. Bitte klicken Sie auf Passwort vergessen und setzen Sie ein neues Passwort"
"We don't have as many ""%1"" as you requested.","Wir haben nicht so viele ""%1"", wie Sie anfordern."
"Please enter at least {0} characters.", "Bitte geben Sie mindestens {0} Zahlen ein."
"My Account", "Mein Konto"
"Logout","Abmelden"
Save New Address, Neue Adresse Speichern
Cancel, Abbrechen
My Dashboard, Ihr Benutzerkonto